"månad","institut","120 Summa tillgångar","103 Utlåning, Totalt","220 Summa skulder inkl. eget kapital","201 In-/upplåning, Totalt","203 Emitterade värdepapper","2035 Säkerställda obligationer, Emitterade"
"2023M03","Swedbank AB (Publ)",3245126,1386830,3245126,1189787,593228,0
"2023M03","Svenska Handelsbanken AB (Publ)",2616907,1733512,2616907,1463727,807932,0
"2023M04","Skandinaviska Enskilda Banken AB (Publ)",3404129,2167747,3404129,2010349,878048,323265
"2023M04","Swedbank AB (Publ)",3408562,1417580,3408562,1322404,588043,0
"2023M04","Svenska Handelsbanken AB (Publ)",2742883,1721387,2742883,1569839,824779,0
"2023M05","Skandinaviska Enskilda Banken AB (Publ)",3588066,2239951,3588066,2057877,954532,344949
"2023M05","Swedbank AB (Publ)",3400101,1376789,3400101,1319282,616626,0
"2023M05","Svenska Handelsbanken AB (Publ)",2894517,1748309,2894517,1638758,890043,0
"2023M06","Skandinaviska Enskilda Banken AB (Publ)",3573409,2287580,3573409,2054564,999154,348794
"2023M06","Swedbank AB (Publ)",3326073,1381538,3326073,1201560,570522,0
"2023M06","Svenska Handelsbanken AB (Publ)",2746963,1759539,2746963,1500940,889129,0
"2023M07","Skandinaviska Enskilda Banken AB (Publ)",3570296,2244184,3570296,2061211,1007441,356555
"2023M07","Swedbank AB (Publ)",3329787,1374175,3329787,1268891,565871,0
"2023M07","Svenska Handelsbanken AB (Publ)",2774079,1752783,2774079,1546645,876666,0
"2023M08","Skandinaviska Enskilda Banken AB (Publ)",3664736,2296072,3664736,2073794,1029347,360974
"2023M08","Swedbank AB (Publ)",3359430,1369819,3359430,1259789,586729,0
"2023M08","Svenska Handelsbanken AB (Publ)",2900333,1750856,2900333,1636620,885985,0
"2023M09","Skandinaviska Enskilda Banken AB (Publ)",3554912,2146888,3554912,2065297,970594,360139
"2023M09","Swedbank AB (Publ)",3310502,1368554,3310502,1187393,589635,0
"2023M09","Svenska Handelsbanken AB (Publ)",2636332,1708987,2636332,1417898,864383,0
"2023M10","Skandinaviska Enskilda Banken AB (Publ)",3563579,2159434,3563579,2044222,989988,363809
"2023M10","Swedbank AB (Publ)",3402223,1379918,3402223,1293627,592631,0
"2023M10","Svenska Handelsbanken AB (Publ)",3006097,1701998,3006097,1538542,891314,0
"2023M11","Skandinaviska Enskilda Banken AB (Publ)",3477738,2143459,3477738,1994214,961222,363302
"2023M11","Swedbank AB (Publ)",3154606,1413322,3154606,1222892,544965,0
"2023M11","Svenska Handelsbanken AB (Publ)",2710348,1674015,2710348,1525789,835786,0
"2023M12","Skandinaviska Enskilda Banken AB (Publ)",3019910,2131481,3019910,1675106,864603,323269
"2023M12","Swedbank AB (Publ)",2768293,1407742,2768293,1101184,480090,0
"2023M12","Svenska Handelsbanken AB (Publ)",2435121,1625044,2435121,1305573,803089,0
"2024M01","Skandinaviska Enskilda Banken AB (Publ)",3396732,2181443,3396732,1994451,918222,326868
"2024M01","Swedbank AB (Publ)",2927717,1372036,2927717,1197739,532568,0
"2024M01","Svenska Handelsbanken AB (Publ)",2690607,1622208,2690607,1504833,854275,0
"2024M02","Skandinaviska Enskilda Banken AB (Publ)",3409453,2212012,3409453,1963542,941565,329671
"2024M02","Swedbank AB (Publ)",2983441,1365105,2983441,1186052,570920,0
"2024M02","Svenska Handelsbanken AB (Publ)",2703664,1624028,2703664,1513077,853560,0
"2024M03","Skandinaviska Enskilda Banken AB (Publ)",3480218,2204978,3480218,1963531,1019281,343593
"2024M03","Swedbank AB (Publ)",3022929,1439805,3022929,1157480,575861,0
"2024M03","Svenska Handelsbanken AB (Publ)",2629110,1662468,2629110,1424888,900581,0
"2024M04","Skandinaviska Enskilda Banken AB (Publ)",3632560,2368848,3632560,2093180,1025698,363930
"2024M04","Swedbank AB (Publ)",3188509,1465384,3188509,1268286,592486,0
"2024M04","Svenska Handelsbanken AB (Publ)",2795717,1668050,2795717,1560828,920291,0
"2024M05","Skandinaviska Enskilda Banken AB (Publ)",3581839,2400648,3581839,2064694,1015376,368910
"2024M05","Swedbank AB (Publ)",2998752,1391161,2998752,1175589,568145,0
"2024M05","Svenska Handelsbanken AB (Publ)",2708267,1651349,2708267,1514675,878171,0
"2024M06","Skandinaviska Enskilda Banken AB (Publ)",3498090,2205014,3498090,2044146,971549,364126
"2024M06","Swedbank AB (Publ)",2902278,1404571,2902278,1169968,554423,0
"2024M06","Svenska Handelsbanken AB (Publ)",2548416,1607468,2548416,1396147,851311,0
"2024M07","Skandinaviska Enskilda Banken AB (Publ)",3511918,2365349,3511918,2043702,983978,372367
"2024M07","Swedbank AB (Publ)",2968494,1397079,2968494,1246964,601405,0
"2024M07","Svenska Handelsbanken AB (Publ)",2697046,1615737,2697046,1508912,882421,0
"2024M08","Skandinaviska Enskilda Banken AB (Publ)",3531023,2403618,3531023,2051576,967517,376950
"2024M08","Swedbank AB (Publ)",2974282,1453570,2974282,1244328,591166,0
"2024M08","Svenska Handelsbanken AB (Publ)",2631621,1598388,2631621,1453486,857488,0
"2024M09","Skandinaviska Enskilda Banken AB (Publ)",3461445,2323897,3461445,2033006,953769,380057
"2024M09","Swedbank AB (Publ)",2881356,1488637,2881356,1139843,624732,0
"2024M09","Svenska Handelsbanken AB (Publ)",2554653,1567092,2554653,1391548,848003,0
"2024M10","Skandinaviska Enskilda Banken AB (Publ)",3585238,2492822,3585238,2044932,1011563,382042
"2024M10","Swedbank AB (Publ)",2900122,1393238,2900122,1211548,627045,0
"2024M10","Svenska Handelsbanken AB (Publ)",2679542,1545396,2679542,1491290,860999,0
"2024M11","Skandinaviska Enskilda Banken AB (Publ)",3598027,2348204,3598027,2065162,987614,382623
"2024M11","Swedbank AB (Publ)",2791734,1372885,2791734,1201953,593073,0
"2024M11","Svenska Handelsbanken AB (Publ)",2699096,1540815,2699096,1521435,866593,0
"2024M12","Skandinaviska Enskilda Banken AB (Publ)",3079232,2250544,3079232,1699428,893961,331054
"2024M12","Swedbank AB (Publ)",2576655,1337063,2576655,1080550,517203,0
"2024M12","Svenska Handelsbanken AB (Publ)",2362998,1531565,2362998,1240880,835977,0
"2025M01","Skandinaviska Enskilda Banken AB (Publ)",3545184,2461736,3545184,2053314,988363,340828
"2025M01","Swedbank AB (Publ)",2822847,1427258,2822847,1221480,564335,0
"2025M01","Svenska Handelsbanken AB (Publ)",2647871,1530710,2647871,1495065,847747,0
"2025M02","Skandinaviska Enskilda Banken AB (Publ)",3471015,2403775,3471015,2058158,934752,339652
"2025M02","Swedbank AB (Publ)",2673136,1371693,2673136,1183160,564456,0
"2025M02","Svenska Handelsbanken AB (Publ)",2654625,1521855,2654625,1522034,825748,0
"2025M03","Skandinaviska Enskilda Banken AB (Publ)",3445516,2291707,3445516,2048459,893256,344305
"2025M03","Swedbank AB (Publ)",2682240,1405568,2682240,1172679,544389,0
"2025M03","Svenska Handelsbanken AB (Publ)",2521902,1509462,2521902,1404635,795144,0
"2025M04","Skandinaviska Enskilda Banken AB (Publ)",3533985,2392709,3533985,2090493,898934,351496
"2025M04","Swedbank AB (Publ)",2706354,1430167,2706354,1263942,538620,0
"2025M04","Svenska Handelsbanken AB (Publ)",2572099,1481329,2572099,1500666,758735,0
"2025M05","Skandinaviska Enskilda Banken AB (Publ)",3491327,2378965,3491327,2060911,928427,375389
"2025M05","Swedbank AB (Publ)",2661732,1411855,2661732,1268203,517715,0
"2025M05","Svenska Handelsbanken AB (Publ)",2534336,1486513,2534336,1453822,780821,0
"2025M06","Skandinaviska Enskilda Banken AB (Publ)",3447016,2309565,3447016,2038430,935921,381958
"2025M06","Swedbank AB (Publ)",2582168,1364919,2582168,1154903,542692,0
"2025M06","Svenska Handelsbanken AB (Publ)",2437303,1492819,2437303,1363990,784482,0
"2025M07","Skandinaviska Enskilda Banken AB (Publ)",3487734,2410295,3487734,2089022,936658,381671
"2025M07","Swedbank AB (Publ)",2612463,1388848,2612463,1173730,550038,0
"2025M07","Svenska Handelsbanken AB (Publ)",2546016,1481966,2546016,1463677,794845,0
"2025M08","Skandinaviska Enskilda Banken AB (Publ)",3456102,2300264,3456102,2071670,922940,377682
"2025M08","Swedbank AB (Publ)",2582647,1373609,2582647,1169986,539629,0
"2025M08","Svenska Handelsbanken AB (Publ)",2508256,1480971,2508256,1418611,795796,0
"2025M09","Skandinaviska Enskilda Banken AB (Publ)",3340709,2375102,3340709,1921011,964464,379073
"2025M09","Swedbank AB (Publ)",2580351,1383651,2580351,1111520,552915,0
"2025M09","Svenska Handelsbanken AB (Publ)",2492662,1545584,2492662,1405383,797253,0
"2025M10","Skandinaviska Enskilda Banken AB (Publ)",3349860,2353322,3349860,1918875,958751,382304
"2025M10","Swedbank AB (Publ)",2519473,1353147,2519473,1138797,540294,0
"2025M10","Svenska Handelsbanken AB (Publ)",2514332,1531090,2514332,1417791,805360,0
"2025M11","Skandinaviska Enskilda Banken AB (Publ)",3279187,2340400,3279187,1899151,916977,367324
"2025M11","Swedbank AB (Publ)",2531344,1395293,2531344,1112492,553340,0
"2025M11","Svenska Handelsbanken AB (Publ)",2380670,1506745,2380670,1310869,785971,0
"2025M12","Skandinaviska Enskilda Banken AB (Publ)",2967540,2250871,2967540,1681526,839339,329897
"2025M12","Swedbank AB (Publ)",2450409,1413031,2450409,1103756,500064,0
"2025M12","Svenska Handelsbanken AB (Publ)",2197640,1481877,2197640,1187511,746945,0
